PERMNO,date,EXCHCD,TICKER,COMNAM,CUSIP,SHROUT,PRC,RET,vwretd,ewretd
86457,11/3/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,46.26,-0.009634,-0.003946,-0.007023
86457,11/4/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,46.18,-0.001729,-0.001238,0.000762
86457,11/7/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,47.18,0.021654,0.020922,0.01605
86457,11/8/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,47.41,0.004875,0.003886,0.002826
86457,11/9/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,47.35,-0.001266,0.012048,0.015762
86457,11/10/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,46.59,-0.016051,0.001947,0.006013
86457,11/11/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,46.73,0.003005,0.000249,0.008795
86457,11/14/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,46.02,-0.015194,0.002367,0.00593
86457,11/15/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,46.67,0.014124,0.007914,0.007655
86457,11/16/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,47.1,0.009214,-0.001508,0.001919
86457,11/17/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,47.4,0.006369,0.004598,0.003055
86457,11/18/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,47.36,-0.000844,-0.001352,0.001393
86457,11/21/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,47.84,0.010135,0.007774,0.006578
86457,11/22/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,47.99,0.003135,0.003039,0.004434
86457,11/23/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,47.8,-0.003959,0.000936,0.002054
86457,11/25/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,48,0.004184,0.003644,0.004296
86457,11/28/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,48.04,0.000833,-0.005937,-0.006379
86457,11/29/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,277206,48.07,0.000624,0.000965,-0.001875
86457,11/30/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,47.5,-0.011858,-0.001563,-0.000946
86457,12/1/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,46.52,-0.020632,-0.004222,-0.005844
86457,12/2/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,46.69,0.003654,0.000704,0.001675
86457,12/5/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,47.14,0.009638,0.007297,0.010745
86457,12/6/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,47.28,0.00297,0.004744,0.007263
86457,12/7/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.18,0.019036,0.012399,0.007853
86457,12/8/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.3,0.002491,0.003726,0.008255
86457,12/9/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.65,0.007246,0.003915,0.002259
86457,12/12/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.5,-0.003083,-0.002442,-0.005929
86457,12/13/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,49.11,0.012577,0.005784,0.00186
86457,12/14/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.94,-0.003462,-0.009617,-0.010845
86457,12/15/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,49.16,0.004495,0.003578,0.00215
86457,12/16/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.59,-0.007196,-0.001147,0.001442
86457,12/19/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.94,0.007203,0.002088,0.002671
86457,12/20/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,49.12,0.003678,0.004298,0.004261
86457,12/21/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,49.02,-0.002036,-0.002492,-0.002139
