PERMNO,date,EXCHCD,TICKER,COMNAM,CUSIP,PRC,RET,SHROUT,vwretd,ewretd,sprtrn
86451,06/18/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.55000,-0.005317,83970,0.001706,0.002965,0.001317
86451,06/21/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.50000,-0.001692,83970,-0.004316,-0.006300,-0.003857
86451,06/22/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.21000,-0.009831,83970,-0.016131,-0.013866,-0.016071
86451,06/23/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.09000,-0.004108,83970,-0.002925,-0.001882,-0.002985
86451,06/24/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.88000,-0.007219,83970,-0.016248,-0.012408,-0.016803
86451,06/25/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.01000,0.004501,83970,0.006049,0.010254,0.002859
86451,06/28/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.96000,-0.001724,83970,-0.003123,-0.004658,-0.002034
86451,06/29/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.43000,-0.018301,83970,-0.032865,-0.031189,-0.031017
86451,06/30/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.20000,-0.008090,95370,-0.008942,-0.005544,-0.010113
86451,07/01/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,27.96000,-0.008511,95370,-0.003937,-0.007591,-0.003240
86451,07/02/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.03000,0.002504,95370,-0.004746,-0.004375,-0.004662
86451,07/06/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.17000,0.004995,95370,0.003313,-0.006417,0.005359
86451,07/07/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.72000,0.019524,95370,0.030874,0.021937,0.031331
86451,07/08/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.96000,0.008357,95370,0.009559,0.010030,0.009413
86451,07/09/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.03000,0.002417,95370,0.008900,0.011699,0.007204
86451,07/12/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.98000,-0.001722,95370,-0.001339,-0.005484,0.000733
86451,07/13/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.20000,0.007591,95370,0.017184,0.021559,0.015379
86451,07/14/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.20000,0.000000,95370,-0.000637,-0.001117,-0.000155
86451,07/15/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.29000,0.003082,95370,0.000420,-0.003625,0.001196
86451,07/16/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.68000,-0.020826,95370,-0.028521,-0.024113,-0.028820
86451,07/19/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.81000,0.004533,95370,0.004999,0.003037,0.005982
86451,07/20/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.73000,-0.002777,95370,0.012630,0.011592,0.011417
86451,07/21/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.26000,-0.016359,95370,-0.012840,-0.009823,-0.012820
86451,07/22/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.44000,0.006369,95370,0.023555,0.023307,0.022513
86451,07/23/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.43000,-0.000352,95370,0.009625,0.013518,0.008220
86451,07/26/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.84000,0.014421,95370,0.011609,0.013842,0.011200
86451,07/27/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.87000,0.001040,95370,-0.002518,-0.002167,-0.001049
86451,07/28/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.48000,-0.013509,95370,-0.007459,-0.007823,-0.006922
86451,07/29/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.46000,-0.000702,95370,-0.002605,0.000452,-0.004159
86451,07/30/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.57000,0.003865,95820,0.001517,0.003374,0.000064
86451,08/02/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.11000,0.018901,95820,0.020543,0.013605,0.022023
86451,08/03/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.35000,0.008245,95820,-0.005139,-0.004573,-0.004796
86451,08/04/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.64000,0.009881,95820,0.007461,0.007322,0.006051
86451,08/05/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.65000,0.000337,95820,-0.002492,-0.004130,-0.001269
86451,08/06/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.71000,0.002024,95820,-0.003543,-0.002666,-0.003704
86451,08/09/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.79000,0.002693,95820,0.005841,0.006811,0.005483
86451,08/10/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.86000,0.002350,95820,-0.007991,-0.011581,-0.005967
86451,08/11/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.09000,-0.025787,95820,-0.029199,-0.028502,-0.028179
86451,08/12/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.21000,0.004125,95820,-0.004668,-0.003016,-0.005379
86451,08/13/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.10000,-0.003766,95820,-0.003872,-0.004213,-0.004024
86451,08/16/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.95000,-0.005155,95820,0.001450,0.003631,0.000120
86451,08/17/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.35000,0.013817,95820,0.013884,0.012328,0.012192
86451,08/18/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.31000,-0.001363,95820,0.002325,0.001916,0.001483
86451,08/19/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.77000,-0.018424,95820,-0.016700,-0.016574,-0.016935
86451,08/20/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.67000,-0.003476,95820,-0.003310,-0.001645,-0.003663
86451,08/23/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.80000,0.004534,95820,-0.004849,-0.008722,-0.004040
86451,08/24/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.18000,-0.021528,95820,-0.014430,-0.011858,-0.014512
86451,08/25/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.46000,0.009936,95820,0.004571,0.005699,0.003289
86451,08/26/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.28000,-0.006325,95820,-0.006641,-0.004951,-0.007685
86451,08/27/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.57000,0.010255,95820,0.018437,0.018579,0.016587
86451,08/30/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.21000,-0.012601,95820,-0.014210,-0.013765,-0.014719
86451,08/31/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.10000,-0.003899,87420,0.000124,0.000366,0.000391
86451,09/01/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.75000,0.023132,87420,0.029083,0.024893,0.029505
86451,09/02/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,28.90000,0.005217,87420,0.009531,0.008303,0.009081
86451,09/03/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.17000,0.009343,87420,0.012969,0.011739,0.013219
86451,09/07/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.00000,-0.005828,87420,-0.011856,-0.012416,-0.011471
86451,09/08/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.16000,0.005517,87420,0.006321,0.006089,0.006439
86451,09/09/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.47000,0.010631,87420,0.003759,0.002379,0.004832
86451,09/10/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.77000,0.010180,87420,0.004483,0.004090,0.004863
86451,09/13/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.84000,0.002351,87420,0.012853,0.015673,0.011131
86451,09/14/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.94000,0.003351,87420,-0.000107,-0.000759,-0.000713
86451,09/15/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.22000,0.009352,87420,0.002958,0.001408,0.003541
86451,09/16/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.10000,-0.003971,87420,-0.000757,-0.002683,-0.000364
86451,09/17/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,29.94000,-0.000200,87420,0.001132,0.003161,0.000827
86451,09/20/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.34000,0.013360,87420,0.015165,0.017205,0.015210
